                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2689,                 1.5551,                 1.0885,                 0.7207,                0.77904,                0.79485,                0.51456,                 1.2046,                 0.9798,                 1.1254,             0.00020774,             0.00020774,             0.00020774
                      2,                 1.1977,                  0.964,                  1.071,                0.79597,                 0.8018,                0.85611,                0.56624,                 1.1664,                0.84701,                 1.1143,             0.00041059,             0.00041059,             0.00041059
                      3,                 1.1924,                0.89439,                 1.0686,                 0.8904,                0.85377,                0.91519,                0.60816,                  1.154,                0.71689,                  1.111,             0.00060793,             0.00060793,             0.00060793
                      4,                 1.1737,                0.83438,                 1.0698,                0.87785,                0.84153,                0.90281,                0.60481,                 1.1328,                0.73616,                 1.1027,             0.00060025,             0.00060025,             0.00060025
                      5,                 1.1488,                0.77139,                 1.0564,                0.91529,                0.88246,                0.92669,                0.62232,                 1.1059,                0.62933,                 1.0933,             0.00060025,             0.00060025,             0.00060025
                      6,                 1.1315,                0.73033,                 1.0475,                0.89559,                0.88775,                0.92795,                0.62559,                 1.0961,                0.63357,                 1.0891,               0.000592,               0.000592,               0.000592
                      7,                 1.1125,                0.70045,                 1.0414,                0.92804,                0.89802,                 0.9385,                0.63583,                 1.0855,                0.57905,                 1.0769,             0.00058375,             0.00058375,             0.00058375
                      8,                 1.1038,                0.67079,                 1.0381,                 0.9325,                0.90587,                0.94013,                0.64198,                 1.0829,                0.55994,                 1.0735,              0.0005755,              0.0005755,              0.0005755
                      9,                 1.0891,                0.64831,                 1.0269,                0.94422,                0.91452,                0.94431,                0.64353,                 1.0796,                0.54736,                 1.0791,             0.00056725,             0.00056725,             0.00056725
                     10,                 1.0921,                0.63868,                  1.033,                0.93039,                0.91572,                0.94112,                0.63618,                  1.086,                0.54518,                 1.0833,               0.000559,               0.000559,               0.000559
                     11,                 1.0829,                0.62551,                 1.0231,                0.93858,                0.91524,                0.94388,                0.65126,                 1.0713,                0.52858,                 1.0698,             0.00055075,             0.00055075,             0.00055075
                     12,                 1.0689,                0.60072,                 1.0222,                0.94517,                0.92509,                0.94761,                0.64885,                 1.0744,                0.50834,                 1.0731,              0.0005425,              0.0005425,              0.0005425
                     13,                 1.0618,                0.59695,                 1.0194,                 0.9517,                 0.9258,                 0.9517,                0.65802,                 1.0552,                0.49902,                 1.0654,             0.00053425,             0.00053425,             0.00053425
                     14,                 1.0551,                0.58807,                 1.0157,                0.94491,                0.92035,                 0.9488,                0.65305,                 1.0587,                0.51242,                 1.0615,               0.000526,               0.000526,               0.000526
                     15,                 1.0505,                0.57128,                 1.0132,                0.94363,                0.92087,                0.94369,                0.65184,                 1.0517,                  0.514,                 1.0615,             0.00051775,             0.00051775,             0.00051775
                     16,                  1.043,                 0.5636,                 1.0138,                0.94771,                 0.9254,                0.95077,                0.65979,                 1.0491,                0.49163,                 1.0603,              0.0005095,              0.0005095,              0.0005095
                     17,                 1.0441,                0.56004,                 1.0119,                0.95331,                0.92334,                0.95021,                0.65528,                 1.0602,                0.50177,                  1.065,             0.00050125,             0.00050125,             0.00050125
                     18,                  1.036,                0.55278,                 1.0077,                0.94771,                0.93076,                0.94974,                0.66214,                 1.0438,                0.49091,                  1.056,               0.000493,               0.000493,               0.000493
                     19,                 1.0236,                 0.5454,                 1.0046,                0.95159,                0.93556,                0.95382,                0.66556,                 1.0578,                0.46711,                 1.0601,             0.00048475,             0.00048475,             0.00048475
                     20,                  1.022,                0.53108,                 1.0051,                0.94971,                0.93073,                0.95104,                0.66403,                 1.0395,                0.47271,                 1.0515,              0.0004765,              0.0004765,              0.0004765
                     21,                 1.0179,                0.52856,                  1.002,                0.95208,                 0.9321,                0.95491,                0.67446,                 1.0285,                0.46603,                  1.051,             0.00046825,             0.00046825,             0.00046825
                     22,                 1.0153,                0.53121,                 1.0006,                0.95198,                0.93462,                0.95388,                0.66547,                  1.033,                0.47038,                 1.0501,                0.00046,                0.00046,                0.00046
                     23,                0.99975,                0.51286,                0.99588,                0.94888,                 0.9285,                0.94752,                0.66331,                 1.0394,                0.47057,                 1.0534,             0.00045175,             0.00045175,             0.00045175
                     24,                0.99681,                0.50948,                0.99705,                0.95625,                0.94171,                 0.9541,                0.67268,                 1.0231,                 0.4416,                 1.0449,              0.0004435,              0.0004435,              0.0004435
                     25,                0.99456,                0.50995,                0.99079,                0.96056,                0.93845,                0.95561,                0.67276,                 1.0232,                0.44093,                 1.0449,             0.00043525,             0.00043525,             0.00043525
                     26,                0.99104,                0.50435,                0.99209,                 0.9632,                0.93501,                0.95701,                0.67511,                  1.033,                0.44737,                 1.0452,               0.000427,               0.000427,               0.000427
                     27,                0.99012,                0.49986,                0.99432,                0.95882,                0.93094,                0.95493,                 0.6708,                 1.0329,                0.45116,                 1.0469,             0.00041875,             0.00041875,             0.00041875
                     28,                0.98718,                0.49163,                0.99363,                0.96262,                0.93771,                 0.9532,                0.67765,                 1.0152,                 0.4401,                 1.0408,              0.0004105,              0.0004105,              0.0004105
                     29,                0.97575,                0.48578,                0.98404,                0.95651,                0.94172,                 0.9566,                0.67815,                 1.0198,                0.43756,                 1.0426,             0.00040225,             0.00040225,             0.00040225
                     30,                0.97907,                0.48525,                0.98723,                 0.9605,                0.94009,                 0.9579,                 0.6746,                 1.0237,                0.44149,                 1.0405,               0.000394,               0.000394,               0.000394
                     31,                0.96636,                0.47595,                0.97841,                0.95978,                0.94475,                0.95813,                0.68046,                 1.0103,                0.42928,                 1.0373,             0.00038575,             0.00038575,             0.00038575
                     32,                0.97214,                0.47265,                 0.9859,                0.96302,                0.94334,                0.95459,                0.67509,                 1.0177,                0.43519,                 1.0404,              0.0003775,              0.0003775,              0.0003775
                     33,                0.97005,                0.47254,                0.98286,                0.96333,                0.94496,                0.95848,                0.68342,                 1.0047,                0.41832,                 1.0336,             0.00036925,             0.00036925,             0.00036925
                     34,                0.95365,                0.46835,                0.97621,                 0.9643,                0.94239,                 0.9599,                0.68358,                 1.0165,                0.42044,                 1.0373,               0.000361,               0.000361,               0.000361
                     35,                0.94865,                0.45954,                0.97463,                0.96625,                0.94139,                0.96011,                0.68539,                 1.0095,                0.41903,                 1.0347,             0.00035275,             0.00035275,             0.00035275
                     36,                0.94996,                0.45877,                0.97856,                0.96163,                0.93865,                 0.9578,                0.68173,                 1.0105,                0.42941,                 1.0358,              0.0003445,              0.0003445,              0.0003445
                     37,                0.94723,                0.46368,                0.97495,                0.96601,                0.94204,                0.95965,                0.68628,                 1.0068,                0.41562,                 1.0342,             0.00033625,             0.00033625,             0.00033625
                     38,                0.93126,                0.44188,                 0.9671,                0.96749,                0.94439,                0.95966,                0.68909,                0.99827,                0.40615,                 1.0277,               0.000328,               0.000328,               0.000328
                     39,                0.93855,                0.44254,                0.97101,                0.96503,                0.94169,                0.95902,                0.68358,                 1.0144,                0.41962,                  1.034,             0.00031975,             0.00031975,             0.00031975
                     40,                0.93887,                0.44525,                0.97487,                0.96076,                0.94273,                0.95898,                0.68181,                  1.002,                0.41789,                 1.0297,              0.0003115,              0.0003115,              0.0003115
                     41,                 0.9314,                0.44431,                0.96806,                0.96499,                0.94771,                0.96013,                0.68906,                0.99896,                0.40465,                 1.0308,             0.00030325,             0.00030325,             0.00030325
                     42,                0.92393,                 0.4393,                0.96516,                0.96826,                0.94537,                0.96289,                0.69231,                  1.003,                0.40276,                 1.0292,               0.000295,               0.000295,               0.000295
                     43,                0.91835,                 0.4324,                 0.9615,                0.96806,                0.94533,                0.96228,                0.69022,                 1.0076,                0.40093,                 1.0324,             0.00028675,             0.00028675,             0.00028675
                     44,                0.90738,                0.43421,                0.96135,                0.96493,                0.94787,                0.96095,                0.69247,                0.99617,                0.39689,                 1.0296,              0.0002785,              0.0002785,              0.0002785
                     45,                0.91082,                0.42786,                 0.9603,                0.96755,                0.94491,                0.96207,                0.68902,                0.99823,                0.39924,                 1.0271,             0.00027025,             0.00027025,             0.00027025
                     46,                 0.8889,                0.41419,                0.95515,                 0.9675,                0.94559,                0.96136,                0.69079,                 0.9941,                0.39296,                  1.029,               0.000262,               0.000262,               0.000262
                     47,                0.90169,                0.42157,                0.95616,                0.96923,                0.94897,                0.96276,                0.69438,                0.99586,                0.38938,                 1.0271,             0.00025375,             0.00025375,             0.00025375
                     48,                0.89148,                0.41471,                0.95246,                0.96961,                0.94492,                0.96351,                0.69512,                0.99073,                0.39218,                 1.0249,              0.0002455,              0.0002455,              0.0002455
                     49,                0.88421,                0.41151,                0.95376,                0.97232,                0.94699,                0.96419,                0.69461,                0.99653,                0.39113,                 1.0286,             0.00023725,             0.00023725,             0.00023725
                     50,                0.89292,                0.40967,                 0.9534,                0.97132,                0.94569,                0.96368,                0.69232,                 1.0057,                0.38899,                 1.0357,               0.000229,               0.000229,               0.000229
                     51,                0.88118,                0.40859,                0.95339,                0.96843,                0.94939,                0.96413,                0.69755,                0.99882,                0.38894,                 1.0323,             0.00022075,             0.00022075,             0.00022075
                     52,                0.86314,                0.39808,                0.94768,                0.97091,                0.94935,                0.96299,                0.69533,                0.99516,                0.38788,                 1.0303,              0.0002125,              0.0002125,              0.0002125
                     53,                0.86295,                 0.3977,                0.94646,                0.97008,                0.94881,                0.96142,                0.69351,                 0.9947,                 0.3901,                  1.033,             0.00020425,             0.00020425,             0.00020425
                     54,                0.86215,                0.39632,                0.95016,                0.96971,                0.94689,                0.96233,                0.69374,                0.99691,                0.39125,                 1.0268,               0.000196,               0.000196,               0.000196
                     55,                0.86443,                0.39413,                0.94581,                0.97058,                0.94831,                 0.9627,                0.69475,                0.99498,                 0.3879,                 1.0275,             0.00018775,             0.00018775,             0.00018775
                     56,                0.85436,                0.38966,                0.94368,                0.96954,                0.94795,                 0.9637,                0.69659,                0.99648,                0.38548,                 1.0282,              0.0001795,              0.0001795,              0.0001795
                     57,                0.85943,                0.39207,                0.94384,                 0.9708,                0.94662,                0.96393,                0.69614,                0.99247,                0.38585,                 1.0285,             0.00017125,             0.00017125,             0.00017125
                     58,                0.84695,                0.38459,                0.93972,                0.97243,                  0.949,                0.96424,                 0.6994,                 0.9929,                0.38026,                 1.0286,               0.000163,               0.000163,               0.000163
                     59,                0.85558,                0.38947,                0.94195,                0.97002,                0.94824,                0.96322,                0.69526,                 0.9976,                0.38312,                 1.0326,             0.00015475,             0.00015475,             0.00015475
                     60,                0.83604,                0.37938,                0.94111,                0.96988,                0.94587,                0.96467,                 0.6984,                 1.0005,                0.38635,                 1.0299,              0.0001465,              0.0001465,              0.0001465
                     61,                0.83642,                0.37592,                0.93594,                0.96858,                0.94866,                0.96285,                0.69695,                0.99478,                0.38738,                 1.0284,             0.00013825,             0.00013825,             0.00013825
                     62,                0.82579,                0.37061,                0.93308,                0.97118,                 0.9496,                0.96416,                0.69823,                0.99342,                0.37848,                 1.0301,                0.00013,                0.00013,                0.00013
                     63,                0.83226,                0.37575,                0.93612,                0.97425,                0.94703,                0.96525,                0.69925,                0.99193,                0.37909,                 1.0283,             0.00012175,             0.00012175,             0.00012175
                     64,                0.82457,                0.36903,                0.93406,                0.97377,                0.94708,                 0.9651,                0.69853,                 0.9972,                0.37906,                 1.0283,              0.0001135,              0.0001135,              0.0001135
                     65,                0.82226,                0.36941,                0.93559,                0.97205,                0.94808,                0.96395,                0.69803,                0.99514,                0.37998,                 1.0287,             0.00010525,             0.00010525,             0.00010525
                     66,                0.79352,                0.31136,                0.95157,                0.97208,                0.94555,                0.96386,                0.69816,                0.99448,                  0.381,                 1.0315,                9.7e-05,                9.7e-05,                9.7e-05
                     67,                0.78093,                0.30825,                0.94505,                0.97116,                 0.9484,                0.96378,                 0.6979,                0.99415,                0.37761,                 1.0335,              8.875e-05,              8.875e-05,              8.875e-05
                     68,                0.77846,                0.30667,                 0.9466,                0.97092,                 0.9488,                0.96462,                0.69888,                0.99378,                0.38113,                 1.0317,               8.05e-05,               8.05e-05,               8.05e-05
                     69,                0.77418,                0.30329,                0.94592,                0.97236,                 0.9474,                0.96571,                0.69868,                0.99741,                0.37989,                 1.0313,              7.225e-05,              7.225e-05,              7.225e-05
                     70,                0.76861,                0.30186,                0.94442,                0.97169,                0.94946,                0.96513,                0.69856,                0.99768,                0.37892,                  1.032,                6.4e-05,                6.4e-05,                6.4e-05
                     71,                0.76506,                0.29804,                0.94172,                0.97311,                0.94724,                  0.965,                0.69956,                0.99642,                0.37823,                 1.0329,              5.575e-05,              5.575e-05,              5.575e-05
                     72,                0.75972,                0.29624,                0.93747,                0.97257,                0.94894,                0.96493,                0.69999,                0.99697,                0.37541,                 1.0355,               4.75e-05,               4.75e-05,               4.75e-05
                     73,                0.75649,                0.29509,                0.93652,                0.97369,                0.94771,                0.96534,                0.69982,                0.99669,                0.37584,                 1.0336,              3.925e-05,              3.925e-05,              3.925e-05
                     74,                 0.7503,                0.29112,                0.93584,                0.97357,                0.94819,                0.96559,                0.69916,                0.99949,                0.37614,                  1.034,                3.1e-05,                3.1e-05,                3.1e-05
                     75,                0.74596,                0.29328,                0.94043,                0.97237,                0.94952,                 0.9658,                0.69841,                 1.0012,                0.37644,                 1.0345,              2.275e-05,              2.275e-05,              2.275e-05
